NOME,IDADE,ESTADO CIVIL,CIDADE,FIANLIDADE,TELEFONE,EMAIL
119
Lucas Andrade Ribeiro,35,Casado,Curitiba,Morar,(41) 98765-4321,lucas.ribeiro@gmail.com
Fernanda Costa Lemos,28,Solteira,Porto Alegre,Investir,(51) 99832-1234,fernanda.lemos@outlook.com
Thiago Almeida Sousa,42,Divorciado,Belo Horizonte,Montar um Negocio,(31) 98523-4567,thiago.sousa@yahoo.com
Amanda Rocha Ferreira,30,Casada,Recife,Morar,(81) 99976-5432,amanda.ferreira@hotmail.com
Carlos Eduardo Martins,50,Viuvo,Sao Paulo,Investir,(11) 99614-3210,carlos.martins@live.com
Juliana Monteiro Silva,26,Solteira,Rio de Janeiro,Montar um Negocio,(21) 99745-2109,juliana.silva@gmail.com
Renato Oliveira Cruz,38,Casado,Campinas,Morar,(19) 99456-7890,renato.cruz@icloud.com
Isabela Farias Nogueira,33,Casada,Fortaleza,Investir,(85) 98888-1234,isabela.nogueira@yahoo.com
Marcelo Teixeira Braga,47,Divorciado,Salvador,Montar um Negocio,(71) 99777-4321,marcelo.braga@outlook.com
Patricia Lima Correa,29,Solteira,Natal,Morar,(84) 99555-8765,patricia.correa@gmail.com
Felipe Castro Moreira,36,Casado,Florianopolis,Investir,(48) 99933-2211,felipe.moreira@hotmail.com
Camila Duarte Pinto,31,Casada,Joao Pessoa,Montar um Negocio,(83) 98234-5678,camila.pinto@outlook.com
Andre Luiz Azevedo,40,Casado,Goiania,Morar,(62) 98123-3344,andre.azevedo@gmail.com
Beatriz Torres Machado,25,Solteira,Vila Velha,Investir,(27) 98654-1234,beatriz.machado@icloud.com
Larissa Barros Tavares,34,Casada,Maceio,Morar,(82) 98777-2212,larissa.tavares@hotmail.com
Rodrigo Nunes Carvalho,41,Casado,Brasilia,Investir,(61) 99666-4433,rodrigo.carvalho@outlook.com
Carolina Mendes Bastos,27,Solteira,Aracaju,Montar um Negocio,(79) 99191-8282,carol.bastos@gmail.com
Vinicius Ramos Queiroz,45,Divorciado,Teresina,Morar,(86) 98484-3333,vinicius.queiroz@live.com
Tatiane Lopes Antunes,32,Casada,Cuiaba,Investir,(65) 98383-9191,tatiane.antunes@yahoo.com
Rafael Vieira Dorneles,37,Casado,Campo Grande,Montar um Negocio,(67) 98181-7070,rafael.dorneles@icloud.com
Bruna Cordeiro Silveira,30,Solteira,Ribeirao Preto,Morar,(16) 99797-6767,bruna.silveira@gmail.com
Gustavo Pacheco Almeida,44,Casado,Uberlandia,Investir,(34) 98494-5656,gustavo.almeida@hotmail.com
Natalia Simoes Leal,28,Solteira,Niteroi,Montar um Negocio,(21) 98585-4545,natalia.leal@outlook.com
Eduardo Assis Camargo,51,Viuvo,Blumenau,Morar,(47) 99898-3434,eduardo.camargo@gmail.com
Mariana Freitas Barreto,35,Casada,Santos,Investir,(13) 99292-2323,mariana.barreto@yahoo.com
Leonardo Brito Rezende,29,Solteiro,Londrina,Montar um Negocio,(43) 98686-1212,leonardo.rezende@live.com
Aline Guimaraes Prado,33,Casada,Sete Lagoas,Morar,(31) 98111-0099,aline.prado@icloud.com
Ricardo Cunha Peixoto,48,Divorciado,Pelotas,Investir,(53) 99777-8888,ricardo.peixoto@hotmail.com
Tatiana Rangel Siqueira,31,Casada,Sao Jose dos Campos,Montar um Negocio,(12) 99333-1111,tatiana.siqueira@outlook.com
Bruno Xavier Arantes,39,Casado,Franca,Morar,(16) 98484-0000,bruno.arantes@gmail.com
Luciana Pereira Diniz,27,Solteira,Macapa,Investir,(96) 98282-5555,luciana.diniz@yahoo.com
Pedro Henrique Muniz,36,Casado,Bauru,Montar um Negocio,(14) 99595-6666,pedro.muniz@live.com
Elaine Moraes Bastos,42,Casada,Boa Vista,Morar,(95) 99876-7777,elaine.bastos@hotmail.com
Anderson Melo Cassio,30,Solteiro,Caxias do Sul,Investir,(54) 99090-9999,anderson.cassio@outlook.com
Debora Rocha Galvao,26,Solteira,Caruaru,Montar um Negocio,(81) 98181-8888,debora.galvao@gmail.com
Joao Paulo Loureiro,50,Casado,Sao Bernardo do Campo,Morar,(11) 98585-4444,joao.loureiro@yahoo.com
Renata Nobrega Bezerra,34,Casada,Vitoria,Investir,(27) 98787-2222,renata.bezerra@icloud.com
Marcos Aurelio Mendes,38,Divorciado,Maringa,Montar um Negocio,(44) 99292-3333,marcos.mendes@hotmail.com
Paula Regina Teles,29,Solteira,Anapolis,Morar,(62) 98484-7777,paula.teles@gmail.com
Sergio Albuquerque Viana,46,Casado,Chapeco,Investir,(49) 99666-1111,sergio.viana@outlook.com
Vanessa Campos Dornelles,32,Casada,Itajai,Montar um Negocio,(47) 98181-2323,vanessa.dornelles@yahoo.com
Patricia Lucia Tavares,61,Viuva,Barbacena,Investir,(32) 99965-1515,patricia.tavares@gmail.com
Cesar Augusto Pimentel,57,Casado,Montes Claros,Morar,(38) 99888-8989,cesar.pimentel@live.com
Lilian Borges Ferreira,36,Solteira,Itauna,Montar um Negocio,(37) 98789-4343,lilian.ferreira@hotmail.com
Otavio Mendes Alvarenga,41,Casado,Divinopolis,Investir,(37) 99544-6767,otavio.alvarenga@icloud.com
Silvia Campos de Lima,30,Solteira,Patos de Minas,Morar,(34) 99123-1122,silvia.lima@yahoo.com
Alfredo Rocha de Paula,63,Casado,Pouso Alegre,Investir,(35) 98456-2233,alfredo.paula@gmail.com
Veronica Lemos Andrade,22,Solteira,Uberaba,Montar um Negocio,(34) 98777-9911,veronica.andrade@outlook.com
Murilo Costa Sales,55,Divorciado,Teofilo Otoni,Morar,(33) 98333-1188,murilo.sales@hotmail.com
Helena Dias Coelho,49,Casada,Varginha,Investir,(35) 99555-7788,helena.coelho@yahoo.com
Cristiano Matos Ventura,62,Casado,Araxa,Montar um Negocio,(34) 99221-8844,cristiano.ventura@icloud.com
Bruna Martins Fonseca,24,Solteira,Ouro Preto,Morar,(31) 98198-6677,bruna.fonseca@gmail.com
Jorge Almeida Pinto,58,Casado,Betim,Investir,(31) 98765-9912,jorge.pinto@outlook.com
